Index,Year,Title,Authors,PPD,Sediment,Water,Biological,Sediment_Concentration,Water_Concentration,Biological_Concentration,Abstract
1,N/A,"</b>
Dimerization of organic free radicals in solution. 1. Temperature
dependent measurements</td>
</tr>

<tr>
<td>
<b>","</b> Grampp, G ; Landgraf, S ; Rasmussen, K ; Strauss, S </td> </tr> <tr xmlns:bean=""http://ts.thomson.com/ua/bean"" xmlns:exsl=""http://exslt.org/common"" xmlns:set=""http://exslt.org/sets""> <td><span class=""FR_label""><b>",1,0,0,0,0,0,0,"</b> dimerization enthalpies and equilibrium constants have been determined for the radical anion of 2,3-dichloro-5,6-dicyano-p-benzoquinone (ddq), the radical cations of n,nn',n'-tetramethyl-p-phenylenediamine, n,n-dimethyl-p-phenylenediamine, 2,3,5,6-tetramethyl-p-phenylenediamine, n,n,n',n'-tetra..."
2,N/A,"</b>
Mitochondrial oxidation of p-phenylenediamine derivatives in vitro:
structure-activity relationships and correlation with myotoxic activity
in vivo.</td>
</tr>

<tr>
<td>
<b>",,1,0,0,1,0,0,0,"</b> a number of p-phenylenediamine derivatives are known to cause necrosis of skeletal and/or cardiac muscle when administered to experimental animals. compounds of this type are oxidized to semiquinonedi-imines or quinonedi-imines by mitochondria in vitro, establishing alternative pathways for ele..."
3,N/A,"</b>
Patch tests with antioxidants</td>
</tr>

<tr>
<td>
<b>","</b> Fontana, L ; Gaudez, C ; Garde, G ; Catilina, P </td> </tr> <tr> <td><span class=""FR_label""><b>",0,0,0,0,0,0,0,
4,N/A,"</b>
Graphene oxide promoted synthesis of &lt;i&gt;p&lt;/i&gt;-phenylenediamine
antioxidants</td>
</tr>

<tr>
<td>
<b>","</b> Li, YT ; Zhang, QP ; Xiao, F ; Zhou, YL </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,1,0,0,0,0,"</b> three p-phenylenediamine antioxidants (p-phenylenediamine-n,n,n',n'-tetrapropionic acid tetramethyl ester, p-phenylenediamine-n,n,n'-tripropionic acid trimethyl ester, and p-phenylenediamine-n, n'-dipropionic acid dimethyl ester) were successfully synthesized via atom-economic aza-michael addit..."
5,N/A,"</b>
Muscle necrosis in rats induced by 2-methoxy-p-phenylenediamine.</td>
</tr>

<tr>
<td>
<b>",,1,0,0,1,0,0,0,"</b> p-phenylenediamine, together with several of its amino and alkyl derivatives, are known to be myotoxic in animals and man. in the present study, it was found that 2-methoxy-p-phenylenediamine, a component of oxidative hair dyes, similarly causes necrosis of skeletal muscle (gastrocnemius, diaph..."
6,N/A,"</b>
Histochemical demonstration of aldehydes by p-phenylenediamine.</td>
</tr>

<tr>
<td>
<b>",,0,0,0,0,0,0,0,
7,N/A,"</b>
Interaction of p-phenylenediamine with the iron-bleomycin complex.</td>
</tr>

<tr>
<td>
<b>",,1,0,0,0,0,0,0,"</b> the iron-bleomycin complex has been shown to catalyze the oxidation of p-phenylenediamine to a stable, purple coloured oxidation product, characterized by an absorption maximum around 520 nm. molecular oxygen is used for reoxidizing fe(ii)-bleomycin after reduction by p-phenylenediamine. an app..."
8,N/A,"</b>
Expected and unexpected products from reacting Sanger's reagent with
p-phenylenediamine</td>
</tr>

<tr>
<td>
<b>","</b> Plater, MJ ; Harrison, WT </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,1,0,0,0,0,"</b> p-phenylenediamine reacts with sanger's reagent in hot ethanol to give the expected mono- and di-substitution products, but in ethanol at room temperature, it gave exclusively 2-nitro-5-fluorophenyl-p-phenylenediamine, where a hydrogen atom is displaced by attack at an activated, unsubstituted ..."
9,N/A,"</b>
Oxidation of ceruloplasmin substrates by serum of different animal
species.</td>
</tr>

<tr>
<td>
<b>","</b> GARATTINI, S; GIACHETTI, A; PIERI, L</td> </tr> <tr> <td><span class=""FR_label""><b>",0,0,0,0,0,0,0,
10,N/A,"</b>
Oxidative polymerization of &lt;i&gt;p&lt;/i&gt;-phenylenediamine</td>
</tr>

<tr>
<td>
<b>","</b> Durgaryan, AA ; Arakelyan, RA ; Durgaryan, NA </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,1,0,0,0,0,"</b> oxidative polymerization of p-phenylenediamine in a hydrochloric acid solution yields not a polyquinoxaline polymer as described in the literature but a modified poly(1,4-benzoquinonediimine-n,n'-diyl-1,4-phenylene) analogous to polyaniline known as pernigraniline. a new scheme of oxidative pol..."
11,N/A,"</b>
One-step synthesis and redox properties of
dodecahydro-3a,9a-diazaperylene -: the most easily oxidized
&lt;i&gt;p&lt;/i&gt;-phenylenediamine</td>
</tr>

<tr>
<td>
<b>","</b> Rawashdeh, AMM ; Sotiriou-Leventis, C ; Gao, XR ; Leventis, N </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,1,0,0,0,0,"</b> dodecahydro-3a,9a-diazaperylene (dhdap) was prepared in one step from p-phenylenediamine and 1-bromo-3-chloropropane, and its first redox potential is 292 mv more negative than the first redox potential of n,n,n',n'-tetramethyl-p-phenylenediamine (tmpd), thus becoming the most easily oxidized p..."
12,N/A,"</b>
Synthesis and characterization of chlorinated paraffin wax-bound
paraphenylenediamine antioxidant and its application in natural rubber</td>
</tr>

<tr>
<td>
<b>",,1,0,0,0,0,0,0,"</b> p-phenylenediamine was chemically attached to low molecular weight chlorinated paraffin wax. the polymer-bound p-phenylenediamine was characterized by vapor-phase osmometry (vpo), proton magnetic resonance spectroscopy (h-1-nmr), infrared spectroscopy (ir), and thermogravimetric analysis (tga)...."
13,N/A,"</b>
Mutagenicity and toxicity studies of p-phenylenediamine and its
derivatives.</td>
</tr>

<tr>
<td>
<b>","</b> Chung, K T; Murdock, C A; Stevens, S E Jr; Li, Y S; Wei, C I; Huang, T S; Chou, M W</td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,0,1,0,0,0,"</b> the mutagenicity of p-phenylenediamine and its derivatives was tested using ames salmonella strains ta98 and ta100. p-phenylenediamine was weakly mutagenic to ta98 with metabolic activation. 2-nitro-p-phenylenediamine was directly mutagenic to both strains, while 2-methyl-p-phenylenediamine req..."
14,N/A,"</b>
Carcinogenicity and toxicity tests on p-phenylenediamine in F344 rats.</td>
</tr>

<tr>
<td>
<b>",,1,0,0,1,0,0,0,"</b> p-phenylenediamine, an intermediate of oxidative-type hair dyes, was administered to groups of male and female f344 rats in their diet. a subacute toxicity test showed that 0.4% p-phenylenediamine was very toxic to both sexes, but that 0.2, 0.1 and 0.05% p-phenylenediamine induced no remarkable..."
15,N/A,"</b>
Fluorescent photoinduced electron transfer (PET) sensing molecules with
&lt;i&gt;p&lt;/i&gt;-phenylenediamine as electron donor</td>
</tr>

<tr>
<td>
<b>","</b> Pearson, AJ ; Xiao, WJ </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,0,0,0,0,0,"</b> fluorescent photoinduced electron-transfer sensors were made from p-phenylenediamine-substituted azacrown ethers attached with a dansyl group, in which the p-phenylenediamine moiety serves as electron donor and the dansyl group acts as the acceptor. chelation-enhanced fluorescence was observed ..."
