Index,Year,Title,Authors,PPD,Sediment,Water,Biological,Sediment_Concentration,Water_Concentration,Biological_Concentration,Abstract
1,N/A,"</b>
A rapid and sensitive spectrophotometric method for the determination of
benzoyl peroxide in wheat flour samples</td>
</tr>

<tr>
<td>
<b>","</b> Ponhong, K ; Supharoek, SA ; Siriangkhawut, W ; Grudpan, K </td> </tr> <tr xmlns:bean=""http://ts.thomson.com/ua/bean"" xmlns:exsl=""http://exslt.org/common"" xmlns:set=""http://exslt.org/sets""> <td><span class=""FR_label""><b>",0,0,0,0,0,0,0,"</b> a simple, rapid, and sensitive spectrophotometric method for the determination of benzoyl peroxide (bpo) in wheat flour samples was developed. the detection principle is based on bpo reacted with 2,2'-azino-bis(3-ethylbenzothiazoline-6-sulfonic acid) (abts) to obtain a blue-green colored produc..."
2,N/A,文献 #2,,0,0,0,0,0,0,0,
3,N/A,"</b>
Enhancement of detoxification of xenobiotic aromatic amine dyes by
N-acetyltransferase 1 (NAT1) enzyme on human keratinocytes cells through
structural modification</td>
</tr>

<tr>
<td>
<b>","</b> Venkatesan, G ; Yang, HQ ; Chen, H ; Bigliardi, P ; Pastorin, G </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,0,1,0,0,0,</b> the metabolic conversion of aromatic amines to n-acetylated forms in skin and keratinocytes depends on nacetyltransferase-1 (nat1). common hair color ingredient such as para-phenylenediamine (ppd) causes allergic contact dermatitis. we explored how different electronic substituents on ppd aided...
4,N/A,"</b>
The effects of para-phenylenediamine (PPD) on the skin fibroblast cells</td>
</tr>

<tr>
<td>
<b>","</b> Seydi, E ; Fatahi, M ; Naserzadeh, P ; Pourahmad, J </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,1,1,0,0,0,"</b> 1. para-phenylenediamine (ppd) is the commonest and most well-known component of hair dyes. ppd is found in more than 1000 hair dye formulations and is the most frequently used permanent hair dye component in europe, north america and east asia. ppd containing hair dyes have been associated wit..."
5,N/A,"</b>
&lt;i&gt;para&lt;/i&gt;-Phenylenediamine Induces Apoptosis Through Activation of
Reactive Oxygen Species-Mediated Mitochondrial Pathway, and Inhibition
of the NF-κB, mTOR, and Wnt Pathways in Human Urothelial Cells</td>
</tr>

<tr>
<td>
<b>","</b> Reena, K ; Ng, KY ; Koh, RY ; Gnanajothy, P ; Chye, SM </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,0,1,0,0,0,"</b> para-phenylenediamine (ppd) has long been used in two-thirds of permanent oxidative hair dye formulations. epidemiological studies and in vivo studies have shown that hair dye is a suspected carcinogen of bladder cancer. however, the toxicity effects of ppd to human bladder remains elusive. in ..."
6,N/A,"</b>
Evaluation of 6PPD-Quinone Lethal Toxicity and Sublethal Effects on
Disease Resistance and Swimming Performance in Coastal Cutthroat Trout
(&lt;i&gt;Oncorhynchus clarkii clarkii&lt;/i&gt;)</td>
</tr>

<tr>
<td>
<b>","</b> Shankar, P ; Dalsky, EM ; Salzer, JE ; Lane, RF ; Hammond, S ; Batts, WN ; Gregg, JL ; Greer, JB ; Kurath, G ; Hershberger, PK ; Hansen, JD </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,1,1,0,0,1,"</b> 6ppd-quinone (6ppdq), derived from the tire-protectant 6ppd reacting with ozone, is an emerging contaminant of concern owing to its role in coho salmon (oncorhynchus kisutch) deaths via urban runoff mortality syndrome (urms). given the impact of 6ppdq on aquatic life in urban streams, we addres..."
7,N/A,文献 #7,,0,0,0,0,0,0,0,
8,N/A,"</b>
Synthesis and performance study of amino functionalized graphene aerogel
grafted with polyaniline nanofibers as an efficient supercapacitor
material</td>
</tr>

<tr>
<td>
<b>","</b> Mahdavi, H ; Kahriz, PK ; Gholipour-Ranjbar, H ; Shahalizade, T </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,0,0,0,0,0,"</b> supercapacitors are one of the most promising solutions for modern life high-power storage applications. it can be expected that supercapacitors facilitate storing higher amount of electrical energy and its controlled release. in the present work, amino functionalized graphene aerogel incorpora..."
9,N/A,"</b>
The effects of acetylcolletotrichin on the mitochondrial respiratory
chain.</td>
</tr>

<tr>
<td>
<b>",,1,0,1,1,0,0,0,"</b> 1. acetylcolletotrichin is a phytotoxic compound that has been isolated from the culture medium of the fungus colletotrichum capsici (grove et al., 1966). 2. with isolated liver and kidney mitochondria acetylcolletotrichin markedly inhibited the oxidation of succinate and those substrates with ..."
10,N/A,文献 #10,,0,0,0,0,0,0,0,
