Index,Year,Title,Authors,PPD,Sediment,Water,Biological,Sediment_Concentration,Water_Concentration,Biological_Concentration,Abstract
1,N/A,"</b>
Determination of free chlorine based on ion chromatography-application
of glycine as a selective scavenger</td>
</tr>

<tr>
<td>
<b>","</b> Abdighahroudi, MS ; Schmidt, TC ; Lutze, HV </td> </tr> <tr xmlns:bean=""http://ts.thomson.com/ua/bean"" xmlns:exsl=""http://exslt.org/common"" xmlns:set=""http://exslt.org/sets""> <td><span class=""FR_label""><b>",1,0,1,0,0,0,0,</b> free available chlorine (fac) is the most widely used chemical for disinfection and in secondary disinfection; a minimum chlorine residual must be present in the distribution system. fac can also be formed as an impurity in clo(2)production as well as a secondary oxidant in the clo(2)applicatio...
2,N/A,"</b>
Stimulation by surangin B of endogenous amino acid release from
synaptosomes</td>
</tr>

<tr>
<td>
<b>",,1,0,0,0,0,0,0,"</b> the effect of surangin b, an insecticidal natural product coumarin, on presynaptic release of endogenous amino acids was investigated using a purified synaptosomal fraction isolated from mouse brain. surangin b stimulated the release of glutamic acid (glu), gamma-aminobutyric acid (gaba), serin..."
3,N/A,"</b>
A Robust Nonvolatile Resistive Memory Device Based on a Freestanding
Ultrathin 2D Imine Polymer Film</td>
</tr>

<tr>
<td>
<b>","</b> Liu, J ; Yang, FX ; Cao, LL ; Li, BL ; Yuan, K ; Lei, SB ; Hu, WP </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,1,1,0,0,0,"</b> here, the synthesis of a wafer-scale ultrathin 2d imine polymer (2dp) film with controllable thickness from simple benzene-1,3,5-tricarbaldehyde (bta) and p-phenylenediamine (pda) building blocks is reported using a schiff base polycondensation reaction at the air-water interface. the synthesiz..."
4,N/A,"</b>
Hydrogenation of nitroarenes into aromatic amines over Ag@BCN colloidal
catalysts</td>
</tr>

<tr>
<td>
<b>","</b> Qiu, XQ ; Liu, QW ; Song, MX ; Huang, CJ </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,1,1,0,0,0,</b> the present work reports that two-dimension layered ternary boron carbon nitrogen nanosheets can serve as good carriers to support and disperse noble metal nanoparticles. the ag@bcn colloids have thus been prepared by attaching ag nanoparticles on the surfaces of bcn nanosheets. the detailed st...
5,N/A,"</b>
Removal of Cu(II) from aqueous solution using synthetic poly
(catechol-diethylenetriamine-p-phenylenediamine) particles</td>
</tr>

<tr>
<td>
<b>","</b> Liu, Q ; Liu, QZ ; Ruan, ZN ; Chang, XQ ; Yao, JS </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,1,0,0,1,0,"</b> a novel poly(catechol-diethylenetriamine-pphenylenediamine)(pcea) adsorbent was synthesized in methanol, with chelating groups supplied by catechol and diethylenetriamine, which showed a strong removal performance and efficient adsorption toward cu(ii) ions in aqueous solution. the adsorbent wa..."
6,N/A,"</b>
Influences of growth substrates and oxygen on the electron transport
system in Acinetobacter sp. HO1-N.</td>
</tr>

<tr>
<td>
<b>",,1,0,0,1,0,0,0,</b> the electron transport system of acinetobacter sp. ho1-n was studied to determine the specific cytochromes and to measure changes in the composition of the respiratory system due to growth in various concentrations of oxygen or types of growth substrates. spectrophotometric analysis revealed th...
7,N/A,"</b>
Studies on the metabolism of the Protozoa.  III.  Metabolism of the
ciliate Tetrahymena pyriformis (Glaucoma piriformis).</td>
</tr>

<tr>
<td>
<b>",,0,0,0,0,0,0,0,
8,N/A,"</b>
Molecular insight on conformational alterations and functional changes
of acetylcholinesterase induced by an emerging environmental pollutant
6PPD-quinone</td>
</tr>

<tr>
<td>
<b>",,1,0,1,1,0,0,0,"</b> the emerging pollutant n-(1,3-dimethylbutyl)-n '-phenyl-p-phenylenediamine quinone (6ppd-quinone) has attracted broad attention because of its widespread presence and harmful impacts, including hepatotoxicity and neurotoxicity. acetylcholinesterase (ache) is commonly used as a classical biomark..."
9,N/A,"</b>
Ultraviolet Light Responsive N-Nitroso Polymers for Antibacterial Nitric
Oxide Delivery</td>
</tr>

<tr>
<td>
<b>","</b> Qiu, YS ; Zhao, TR ; Lu, X ; Yuan, QC ; Gregg, S ; Nze, RP ; Xiao, B </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,0,1,0,0,0,"</b> this study investigates the incorporation of active secondary amine moieties into the polymer backbone by co-polymerizing 2,4,6-tris(chloromethyl)-mesitylene with three diamines, namely 1,4-diaminobutane, m-phenylenediamine, and p-phenylenediamine. this process results in the stabilization of t..."
10,N/A,"</b>
One-step facile pathway synthesis of PAPXD/1214-PEA thermoplastic
elastomer: Structure and properties</td>
</tr>

<tr>
<td>
<b>","</b> Li, HN ; Ren, W ; Yan, GM ; Fu, XB ; Xing, XJ ; Yang, J ; Zhang, G </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,1,0,0,0,0,"</b> in this study, a novel and facile one-step synthesis route was conducted to prepare semi-aromatic polyamide elastomer (papxd/1214-pea) with p-phenylenediamine, dodecane diamine, dodecanedioic acid and polyether amine (pea) as monomers. a systematic investigation has been conducted into the effe..."
11,N/A,"</b>
Programmed cell death in plants under anaerobic conditions: Effect of
Ag&lt;SUP&gt;+&lt;/SUP&gt;</td>
</tr>

<tr>
<td>
<b>","</b> Samuilov, VD ; Kiselevsky, DB ; Nesov, AV ; Dzyubinskaya, EV ; Vasil'ev, LA ; Samuilov, FD </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,0,1,0,0,0,"</b> we investigated epidermal peels from the leaves of pea (pisum sativum l.) consisting of a monolayer of the cells of two types: stomatal guard cells (gc) with chloroplasts and mitochondria and basic epidermal cells (ec) containing only mitochondria. as inducers of programmed cell death, we used ..."
12,N/A,"</b>
Histological detection of lipid peroxidation following infusion of
tert-butyl hydroperoxide and ADP-iron complex in perfused rat livers.</td>
</tr>

<tr>
<td>
<b>",,1,0,1,1,0,0,0,"</b> lipid peroxidation was assessed histologically and biochemically in hemoglobin-free perfused rat livers using two different types of stimulators. the schiff reaction of fuchsin with cellular aldehydes was used as a histological index for lipid peroxidation. t-butyl hydroperoxide (bhp, 0.8 mm) i..."
13,N/A,"</b>
Hydroperoxide-induced broncho- and vasoconstriction in the isolated rat
lung.</td>
</tr>

<tr>
<td>
<b>","</b> Olafsdottir, K; Ryrfeldt, A; Atzori, L; Berggren, M; Moldeus, P</td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,1,0,0,0,0,"</b> the effects of different hydroperoxides on lung mechanics and perfusate flow rate and their mechanisms of action were studied in isolated perfused rat lungs. the administration of hydrogen peroxide, t-butyl hydroperoxide, cumene hydroperoxide, linoleic acid hydroperoxide, and linoleic acid ethy..."
14,N/A,"</b>
Morphometric Analysis of Optic Nerve Axons Using Automated ArcGIS
Feature Extraction</td>
</tr>

<tr>
<td>
<b>",,0,0,0,0,0,0,0,</b> <value>5938</value> </td> </tr> <tr> <td> <b>document type:</b> meeting abstract</td> </tr> <tr> <td> <b>published:</b> <value>sep 2016</value> </td> </tr> <tr> <td> <b>
15,N/A,"</b>
Increase of the extraction yields of coals by the addition of aromatic
amines</td>
</tr>

<tr>
<td>
<b>","</b> Giray, ESV ; Chen, C ; Takanohashi, T ; Iino, M </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,1,0,0,0,0,</b> the effect of the addition of aromatic amines on the yields of the extraction of argonne premium coals with carbon disulfide-n-methylpyrrolidinone (cs2-nmp) mixed solvent (1:1 by volume) was investigated. the addition of a very small amount (25 mg/g-coal) of p-phenylenediamine (p-pda) increased...
16,N/A,"</b>
Rapid Construction of Caffeic Acid/&lt;i&gt;p&lt;/i&gt;-Phenylenediamine Antifouling
Hydrophilic Coating on a PVDF Membrane for Emulsion Separation</td>
</tr>

<tr>
<td>
<b>","</b> Tong, YJ ; Miao, CG ; Ding, WL ; Quarcoo, FH ; Xiao, X ; Ji, HJ ; Li, WX ; Ju, XH </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,1,0,0,0,0,"</b> the current methods of constructing modification strategies for hydrophilic membranes are time-consuming, complex in operation, and poor in universality, which limit their application on membranes. in this work, inspired by the adhesion properties and versatility of caffeic acid (ca) and p-phen..."
17,N/A,"</b>
Low band gap conductive copolymer of thiophene with
&lt;i&gt;p&lt;/i&gt;-phenylenediamine and its magnetic nanocomposite: Synthesis,
characterization and biosensing activity</td>
</tr>

<tr>
<td>
<b>","</b> Rouhi, M ; Lakouraj, MM ; Baghayeri, M </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,0,0,0,0,0,"</b> thiophene and p-phenylenediamine were utilized as monomers to prepare low band gap copolymer and nanocomposites with core-shell construction by a simple in situ emulsion polymerization. different devices such as fourier transform infrared, x-ray diffraction, scanning electron microscopy, therma..."
18,N/A,"</b>
Deposition rates and air concentrations of tire and road wear particles
near a motorway in Germany</td>
</tr>

<tr>
<td>
<b>","</b> Weinbruch, S ; Matthies, J ; Zou, LY ; Kandler, K ; Ebert, M ; Bigalke, M </td> </tr> <tr> <td><span class=""FR_label""><b>",1,1,0,1,0,0,0,"</b> tire and road wear particles (trwp) are an important component of non-exhaust emissions from road traffic. they are internal mixtures of tire material, road wear, brake wear, and soil minerals. in contrast to tire material analysed by bulk analytical techniques, there is little literature on th..."
19,N/A,"</b>
Electrophoretic deposition of Sn-doped TiO&lt;sub&gt;2&lt;/sub&gt; nanoparticles and
its optical and photocatalytic properties</td>
</tr>

<tr>
<td>
<b>","</b> Yeganeh, SEH ; Kazazi, M ; Kaleji, BK ; Kazemi, SH ; Hosseinzadeh, B </td> </tr> <tr> <td><span class=""FR_label""><b>",1,1,0,0,0,0,0,"</b> in this research, sn-doped tio2 (sn-tio2) nanoparticles were synthesized by a simple sol-gel method. the structure and composition of the as-prepared sample were investigated using x-ray diffraction (xrd), fourier transform infrared spectroscopy (ftir), x-ray photoelectron spectroscopy (xps) an..."
20,N/A,"</b>
Iodide Oxidation by a Novel Multicopper Oxidase from the
Alphaproteobacterium Strain Q-1</td>
</tr>

<tr>
<td>
<b>","</b> Suzuki, M ; Eda, Y ; Ohsawa, S ; Kanesaki, Y ; Yoshikawa, H ; Tanaka, K ; Muramatsu, Y ; Yoshikawa, J ; Sato, I ; Fujii, T ; Amachi, S </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,0,0,0,0,0,"</b> alphaproteobacterium strain q-1 is able to oxidize iodide (i-) to molecular iodine (i-2) by an oxidase-like enzyme. one of the two isoforms of the iodide-oxidizing enzyme (ioe-ii) produced by this strain was excised from a native polyacrylamide gel, eluted, and purified. toe-it appeared as a si..."
21,N/A,"</b>
Antioxidant and Pro-Oxidant Evaluation of a &lt;i&gt;Potentilla alba&lt;/i&gt; L.
Rhizome Extract</td>
</tr>

<tr>
<td>
<b>","</b> Dorman, HJD ; Shikov, AN ; Pozharitskaya, ON ; Hiltunen, R </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,1,0,0,0,0,"</b> using spectrophotometric methods, a h2o-soluble potentilla alba l. rhizome extract was evaluated phytochemically, i.e., the total phenol, flavonoid, flavonol, flavanone, and proanthocyanidin contents were determined, and its antioxidant and pro-oxidant properties, i.e., the fe-iii reductive and..."
22,N/A,"</b>
The identification of trichoscopic features of allergic scalp contact
dermatitis: a pilot-study of a single center</td>
</tr>

<tr>
<td>
<b>","</b> Starace, M ; Bruni, F ; Marcondes, MT ; Alessandrini, A ; Piraccini, BM </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,0,0,0,0,0,"</b> background: very few reports have described trichoscopic patterns of allergic scalp contact dermatitis (ascd), which is usually an exclusion diagnosis on hair disorders. trichoscopy is a simple, diffused method for investigating scalp diseases and may help to establish the characteristic findin..."
23,N/A,"</b>
Toxicity of 6PPD to the stony coral&lt;i&gt; Pocillopora&lt;/i&gt;&lt;i&gt; damicornis&lt;/i&gt;
in different developmental stages</td>
</tr>

<tr>
<td>
<b>",,1,0,0,1,0,0,1,"</b> human-derived pollutants increasingly threaten coral reefs. the tire-derived hazardous chemical n-(1,3-dimethylbutyl)-n'-phenyl-p-phenylenediamine (6ppd) and 6ppd quinone were detected in marine ecosystems recently. however, their toxicological effects on coral reef organisms remain poorly unde..."
24,N/A,"</b>
Ionic-liquid-stabilized fluorescent probe based on S-doped carbon
dot-embedded covalent-organic frameworks for determination of histamine</td>
</tr>

<tr>
<td>
<b>","</b> Zhang, DW ; Wang, YP ; Xie, JC ; Geng, WT ; Liu, HL </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,1,1,0,0,0,"</b> an ionic-liquid-stabilized fluorescent probe for histamine is described. sulfur-doped carbon dots (s-cds) were incorporated into a covalent organic framework (cof) that was prepared from 1,3,5-triformylphloroglucinol and 2,5-dimethyl-p-phenylenediamine by one-pot hydrothermal polymerization in ..."
25,N/A,"</b>
Tetraphenyl-p-phenylenediamine-based tunable conjugated microporous
polymers: Adsorption and photodegradation of hazardous dyestuff in
aqueous environments</td>
</tr>

<tr>
<td>
<b>","</b> Kotp, MG ; Chang, CL ; EL-Mahdy, AFM </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,0,0,0,0,0,"</b> in this work, a series of donor-acceptor type tetraphenyl-p-phenylenediamine-based cmps (tppda cmps) is developed using the suzuki-coupling reaction for dual photocatalysis and adsorption of rhodamine b (rhb) dyestuff. the boronic ester of tetraphenyl-p-phenylenediamine (tppda-4bor) considers a..."
26,N/A,"</b>
Contact sensitization to 4,4'-diaminodiphenylmethane and to isocyanates
among general dermatology patients</td>
</tr>

<tr>
<td>
<b>",,1,0,0,0,0,0,0,"</b> background: diisocyanates and 4,4'-diaminodiphenylmethane (mda) are industrial sensitizers. occupational asthma is a risk among workers exposed to diisocyanates. exposure may also lead to contact sensitization and allergic contact dermatitis. <br>objective: the aim of this study was to determin..."
27,N/A,"</b>
Reactivity and evolution of 4022 patch tests in Chilean patients with
contact dermatitis</td>
</tr>

<tr>
<td>
<b>","</b> Sabatini, N ; Cabrera, R ; Bascu&ntilde;&aacute;n, C ; D&iacute;az-Narv&aacute;ez, V ; Castillo, R ; Urrutia, M ; Sep&uacute;lveda, R </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,0,0,0,0,0,"</b> background: allergic contact dermatitis is a classic delayed hypersensitivity reaction. aim: to study the reactivity and evolution in chilean patients by gender, using the standard european patch test. materials and methods: the results of the european standard patch test applied to 4,022 patie..."
28,N/A,"</b>
Sodium-Dependent Azotobacter chroococcum Strains Are Aeroadaptive,
Microaerophilic, Nitrogen-Fixing Bacteria.</td>
</tr>

<tr>
<td>
<b>","</b> Page, W J; Jackson, L; Shivprasad, S</td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,0,0,0,0,0,</b> na -dependent strains of azotobacter chroococcum were observed to have very low reactivities with the h(2)o(2) spot test for catalase. the cell extract of the representative na -dependent strain 184 contained a catalase specific activity that was 10-to 600-fold lower than those found in na -ind...
29,N/A,"</b>
Construction of salicylaldehyde analogues as turn-on fluorescence probes
and their electronic effect on sensitive and selective detection of
As(v) in groundwater</td>
</tr>

<tr>
<td>
<b>","</b> Wang, LN ; Li, Y ; Tian, XK ; Yang, C ; Lu, LQ ; Zhou, ZX ; Huang, YJ ; Nie, YL </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,1,0,0,0,0,"</b> arsenic contamination in groundwater is a severe and major environmental problem that endangers public health. as such, a sensitive and selective methodology for the detection of this toxic metalloid must be urgently developed. aldimine condensation reactions of p-phenylenediamine with salicyla..."
30,N/A,"</b>
OH radical reaction of 5-substituted uracils: Pulse radiolysis and
product studies of a common redox-ambivalent radical produced by
elimination of the 5-substituents</td>
</tr>

<tr>
<td>
<b>",,1,0,1,0,0,0,0,"</b> using a redox titration method in the pulse radiolysis of n2o-saturated phosphate buffer solution, the redox properties of the intermediate radicals derived from oh radical reactions of 5-substituted uracils 1c-h (r = f, cl, br, no2, nh2, oh) have been characterized. while the primary intermedi..."
31,N/A,"</b>
A new strategy for anchoring a functionalized graphene hydrogel in a
carbon cloth network to support a lignosulfonate/polyaniline hydrogel as
an integrated electrode for flexible high areal-capacitance
supercapacitors</td>
</tr>

<tr>
<td>
<b>","</b> Wu, D ; Zhong, WB </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,1,0,0,0,0,"</b> carbon cloth (cc) is widely used as a freestanding substrate for energy storage devices, due to its high conductivity, special porous network, and good mechanical flexibility. however, it is still challenging to fully utilize the space of cc to achieve a high mass loading of electroactive mater..."
32,N/A,"</b>
N-type doping effect of single-walled carbon nanotubes with aromatic
amines</td>
</tr>

<tr>
<td>
<b>","</b> Koizhaiganova, RB ; Hwang, DH ; Lee, CJ ; Roth, S ; Dettlaff-Weglikowska, U </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,0,0,0,0,0,</b> we investigated the chemical doping of the single-walled carbon nanotubes (swcnts) networks by a treatment with aromatic amines. adsorption and intercalation of amine molecules in bundled swcnts leads to typical n-type doping observed already for alkali metals. the electron donation to swcnts i...
33,N/A,"</b>
Contact allergy to ingredients of hair cosmetics in female hairdressers
and clients - an 8-year analysis of IVDK data</td>
</tr>

<tr>
<td>
<b>","</b> Uter, W ; Lessmann, H ; Geier, J ; Schnuch, A </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,0,0,0,0,0,"</b> not only hairdressers, but also their clients or home-users of hair cosmetic products may become sensitized to one of the product constituents. the present analysis addresses the question whether the pattern of sensitization is different in these 2 groups and includes female patients who consul..."
34,N/A,"</b>
Isolation and characterization of a mo -reducing bacterium.</td>
</tr>

<tr>
<td>
<b>",,1,0,1,0,0,0,0,"</b> a mo -reducing bacterium (strain 48), which grew on medium supplemented with 200 mm mo, was isolated from stream water obtained from chengkau, malaysia. the chemical properties of strain 48 conform to the characteristics of enterobacter cloacae. under anaerobic conditions in the glucose-yeast e..."
35,N/A,"</b>
Evidence for the role of soluble cytochrome c in the dissimilatory
reduction of nitrite and nitrous oxide by cells of Paracoccus
denitrificans.</td>
</tr>

<tr>
<td>
<b>",,1,0,0,0,0,0,0,</b> the role of periplasmic cytochrome c in the denitrification pathway has been investigated using a wild-type and/or a cytochrome c deficient strain of paracoccus denitrificans. the reconstitution experiments with the isolated proteins showed that bacterial cytochrome c-550 restored the electron ...
36,N/A,"</b>
In situ preparation of zincophilic covalent-organic frameworks with low
surface work function and high rigidity to stabilize zinc metal anodes</td>
</tr>

<tr>
<td>
<b>","</b> Zhao, YY ; Feng, KY ; Yu, YJ </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,0,1,0,0,0,"</b> zinc-ion batteries (zibs) are inexpensive and safe, but side reactions on the zn anode and zn dendrite growth hinder their practical applications. in this study, 1,3,5-triformylphloroglycerol (tp) and various diamine monomers (p-phenylenediamine (pa), benzidine (bd), and 4,4 '-diamino-p-terphen..."
37,N/A,"</b>
Direct colorimetric detection of triacetone triperoxide explosive by
hydroxylamine-mediated Fenton chemistry catalyzed by goethite
nanoparticles</td>
</tr>

<tr>
<td>
<b>","</b> &Ccedil;ekem, BK ; &Uuml;zer, A ; Apak, R </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,1,0,0,0,0,"</b> due to the absence of nitro groups or aromatic structures in its structure, spectrophotometric methods that can directly determine triacetone triperoxide (tatp) are absent. in the proposed study, a molecular spectroscopic sensor was developed based on the decomposition of tatp by hydrolysis wit..."
38,N/A,"</b>
Nitrogen containing polymers-based triazine: synthesis, characterization
and its applications for scavenging of copper(II)</td>
</tr>

<tr>
<td>
<b>","</b> Kenawy, E ; Osman, SM ; AlOthman, ZA ; Aly, EA ; Khattab, SN ; El-Faham, A </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,0,1,0,0,0,"</b> the present work reported the synthesis of four polymers based on 4,6-dichloro-n-(4-methoxyphenyl)-1,3,5-triazin-2-amine (pma) as a monomer with different diamines (ethylenediamine (edpma), 1,4-diaminobutane (bdpma), piperazine (pzpma) and p-phenylenediamine (pdpma)). the prepared porous organi..."
39,N/A,"</b>
Large-area ultra-thin GO nanofiltration membranes prepared by a
pre-crosslinking rod coating technique</td>
</tr>

<tr>
<td>
<b>","</b> Zhou, K ; Guo, CS ; Gan, F ; Xin, JH ; Yu, H </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,0,0,0,0,0,"</b> in existing separation membranes, it is difficult to quickly produce large-area graphene oxide (go) nanofiltration membranes with high permeability and high rejection, which is the bottleneck of industri-alization. in this study, a pre-crosslinking rod-coating technique is reported. a go-p-phen..."
40,N/A,"</b>
In Vitro Monitoring of Human T Cell Responses to Skin Sensitizing
Chemicals-A Systematic Review</td>
</tr>

<tr>
<td>
<b>","</b> Aparicio-Soto, M ; Curato, C ; Riedel, F ; Thierse, HJ ; Luch, A ; Siewert, K </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,0,0,0,0,0,"</b> background: chemical allergies are t cell-mediated diseases that often manifest in the skin as allergic contact dermatitis (acd). to prevent acd on a public health scale and avoid elicitation reactions at the individual patient level, predictive and diagnostic tests, respectively, are indispens..."
41,N/A,"</b>
A ""yellow"" laccase with ""blue"" spectroscopic features, from
&lt;i&gt;Sclerotinia sclerotiorum&lt;/i&gt;</td>
</tr>

<tr>
<td>
<b>","</b> Mot, AC ; P&acirc;rvu, M ; Damian, G ; Irimie, FD ; Darula, Z ; Medzihradszky, KF ; Brem, B ; Silaghi-Dumitrescu, R </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,0,0,0,0,0,"</b> reported here are the production, purification and characterization of a laccase from the phytophathogenic fungus sclerotinia sclerotiorum. this laccase is identified by mass spectrometry with a sequence coverage of 74.9% (458/577 aa) revealing that the protein is identical or highly homologous..."
42,N/A,"</b>
Identification of lymphohemopoietic cells in the kidneys of normal rats.</td>
</tr>

<tr>
<td>
<b>","</b> Eddy, A A; Crary, G S; Michael, A F</td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,0,0,0,0,0,</b> recently developed monoclonal antibodies against rat lymphohematopoietic cells provide ideal probes for study of the role of the cellular immune system in experimental renal disease. techniques for optimal and reliable labeling of cells present within the glomeruli have not yet been established...
43,N/A,"</b>
Sensitivity of various visualization methods for peroxidase and alkaline
phosphatase activity in immunoenzyme histochemistry.</td>
</tr>

<tr>
<td>
<b>","</b> De Jong, A S; Van Kessel-van Vark, M; Raap, A K</td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,0,1,0,0,0,</b> various chromogen protocols for visualizing peroxidase and alkaline phosphatase activity in immunoenzyme histochemistry were compared with respect to their sensitivity. they were tested on tissue sections of human skeletal muscle and in an antigen spot test using antibodies against slow skeleta...
44,N/A,"</b>
Effect of antioxidants on muscle and plasma lipids of vitamin
E-deficient guinea pigs.</td>
</tr>

<tr>
<td>
<b>",,0,0,0,0,0,0,0,
45,N/A,"</b>
Highly electrochemical active composites based on capacitive
graphene/aniline oligomer hybrid for high-performance sustainable energy
storage devices</td>
</tr>

<tr>
<td>
<b>","</b> Thota, A ; Wang, QG ; Liu, P ; Jian, ZY </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,1,0,0,0,0,"</b> carbon-based nanomaterials have been regarded as an important kind of electrode material for supercapacitors, but suffered from their low energy densities. to achieve high electrochemical performance, here a novel graphene/oligomer polyaniline composite is proposed. we prepare tetraaniline/redu..."
46,N/A,"</b>
Effects of &lt;i&gt;N&lt;/i&gt;-acylethanolamines on mitochondrial energetics and
permeability transition</td>
</tr>

<tr>
<td>
<b>","</b> Wasilewski, M ; Wieckowski, MR ; Dymkowska, D ; Wojtczak, L </td> </tr> <tr> <td><span class=""FR_label""><b>",1,0,0,0,0,0,0,"</b> effects of n-acylethanolamines (naes): n-arachidonoylethanolamine (anandamide), n-oleoylethanolamine and n-palmitoylethanolamine, on energy coupling and permeability of rat heart mitochondria were investigated. in nominally ca2+-free media, these compounds exerted a weak protonophoric effect ma..."
